;NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_TEMPO_ADICIONAL;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
530;190001237855;2019;3125101;Extrema;31;MG;17;M;1;3;1;3125101.0;Extrema;31.0;MG;2;0;2;1.0;0;31055123.0;3125101.0;Extrema;31.0;MG;2.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3125101;Extrema;31;MG;1;1;1;1;504.0;510.0;513.0;516.0;448.6;531.2;563.3;480.3;DEADADCEDABDEDBCDBDDDDCCECBBABDBCEDDDCDBBBDAD;EEACCEBBAEBEAAAADABBCEDAACBCCCACDACABBDCDBDEC;ADBBA99999ABDCACBACECCDCBAAACCDDABDCDAAEDDEECDBADC;DABECACACABCAECBBBECCCCBCDDEECCEEBECCECEDEABB;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1.0;160.0;120.0;120.0;140.0;140.0;680.0;D;D;C;C;3;D;A;B;C;A;A;B;A;B;A;B;A;B;C;A;A;D;A;B;B
531;190001082485;2019;1301209;Coari;13;AM;20;M;1;3;1;1301209.0;Coari;13.0;AM;1;1;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1301209;Coari;13;AM;1;1;1;1;505.0;508.0;512.0;518.0;455.5;444.7;429.3;516.5;DBECDACABDBCDBEDBDACBDBBDCCEABDBBDEBDADBECBEA;DDABDDBCBDCEDADBCBCCBEBAEDADBBACBBEDBBDEABCCB;99999EDBADCEDEADAECEBBDEAEDADBCBBEBDABDADCBDADADBA;ADEBADEBCEEDBBCDBAEBBEBCEBEB*CBABADBDBEADCDDE;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1.0;80.0;120.0;100.0;100.0;120.0;520.0;C;C;A;A;5;B;A;B;C;B;B;B;B;B;A;A;A;A;B;A;B;E;A;B;A
532;190001779812;2019;5205109;Catalão;52;GO;20;F;1;3;1;2910800.0;Feira de Santana;29.0;BA;1;2;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5205109;Catalão;52;GO;1;1;1;1;505.0;508.0;512.0;518.0;495.7;517.4;528.2;471.0;DAECBEBCBCD*DACCEEDCBEDDAABCBCDBBDEADABBDDCCD;DAABACDACDEEDDCCEBAAEABCEDEEEABDBEEACDCAEEAAB;99999BEBDDCDAACCAECCCAECDCDEEECAA*EAADBEEBEDCAAECC;DBCCABCAAAABCEADBBDDCACBAACEBBAEDCDBCEBBCBCEB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1.0;100.0;120.0;120.0;100.0;120.0;560.0;C;D;C;B;3;C;A;B;C;B;A;B;A;A;A;B;A;A;B;B;A;D;A;A;B
533;190001599167;2019;3546306;Santa Cruz das Palmeiras;35;SP;26;F;1;2;2;;;;;1;9;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3539301;Pirassununga;35;SP;0;1;1;0;;510.0;513.0;;;497.3;389.4;;;AEBCABDCEBAEBAACBCADEEABEADCEEBACAEBEAECDACBE;BEDCC99999BADACEEACEBECBDDEDECCDDACEDACCAECBBCEADB;;0;;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;;2.0;0.0;0.0;0.0;0.0;0.0;0.0;B;B;A;A;8;D;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;D;B;A;B
534;190001743758;2019;5002704;Campo Grande;50;MS;46;F;3;2;1;5002704.0;Campo Grande;50.0;MS;1;13;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5002704;Campo Grande;50;MS;1;1;1;1;506.0;507.0;511.0;517.0;340.5;405.3;503.0;395.0;EDDACDCBCDDCBECADCCEABCDCACDDDBEADECBCEADBECD;EEEEAAACCBDDECBCBCCCCCBDAADADDECACCBCBEDBEBCB;CEDCC99999DDEDCDDACCAACBCCCEEEDCACCBEDEACDDDBBCBAC;BBCBCCDCACAABEBCAACEBAEACDCABABDDDCACCCCDCEEE;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1.0;100.0;120.0;80.0;100.0;80.0;480.0;H;B;F;B;2;C;A;B;C;A;A;B;B;B;A;A;A;A;A;A;A;B;A;A;B
535;190001210216;2019;2110005;Santa Luzia;21;MA;20;F;1;3;1;2110005.0;Santa Luzia;21.0;MA;1;4;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2110005;Santa Luzia;21;MA;1;1;1;1;503.0;507.0;511.0;515.0;488.3;469.3;558.2;516.1;EEBABCBEEDBACCEEDDDACECEAECEBDAEEEDDCEACCBCBE;ECEBDBAEDBCCDAECAACDEBCABCDDBCEBDBDDDBDDEACAB;99999CBAAABCBBBEAAECDAAECDDEEECCCDADEBCAADADBAECCE;EEBBCDDCABEDCCADDCBDCDCEABCEBEBDBBDEADDEADBCA;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1.0;120.0;40.0;40.0;100.0;0.0;300.0;E;G;D;D;3;B;A;C;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B
536;190001045801;2019;1501402;Belém;15;PA;32;F;1;3;1;1501402.0;Belém;15.0;PA;1;13;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501402;Belém;15;PA;1;1;1;1;506.0;509.0;514.0;517.0;493.7;569.8;497.4;498.4;DDCBACEEAABACDEBCBBBEAEECAABDEDDCBABAEEEDBCAD;ECECCEACDBAEADADBCBABBAECCBAABDCADDEAEDBABABB;99999CBCAACDEECBEABBDCBDBAEBDACADEAABCCADDCADCDDAE;CBDACBEEAD.EDDDCBBCACBEDDECCABDDBEACBBEBACC*B;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1.0;120.0;120.0;120.0;140.0;0.0;500.0;E;C;D;E;4;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
537;190001133243;2019;2304400;Fortaleza;23;CE;29;M;2;3;1;3534401.0;Osasco;35.0;SP;1;10;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2304400;Fortaleza;23;CE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;A;C;B;3;B;A;B;C;A;A;B;A;A;A;A;A;B;B;A;A;C;A;B;B
538;190001425203;2019;2910800;Feira de Santana;29;BA;19;F;0;1;1;2910800.0;Feira de Santana;29.0;BA;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2910800;Feira de Santana;29;BA;1;1;1;1;504.0;507.0;511.0;516.0;377.2;349.1;457.9;505.2;EDACDCABCADBDDEEBDBCCADADDCEAECCABEBBBCECBBDD;ECBACCCBDBAECDCACDAEBCABCDADCBECACDABCEACCCAD;CBEDC99999ECEABDAAECAACEDACEEEBCEBAAEBDCDCCEADCDAE;BECACCDBABBBAAABAEBADDAEADADCADAABDCBAEADAAEA;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1.0;120.0;100.0;60.0;80.0;0.0;360.0;E;E;B;C;4;C;A;B;C;B;A;B;A;A;A;A;A;A;B;B;A;D;A;A;B
539;190001037377;2019;1400100;Boa Vista;14;RR;25;F;1;3;1;1400100.0;Boa Vista;14.0;RR;1;8;1;1.0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1400100;Boa Vista;14;RR;1;1;1;1;505.0;509.0;514.0;518.0;379.5;559.0;526.7;405.4;DEBDECACBDDCDDACECDBAECABBECDCBEABCDEBADCADEE;DCECEEBCABCEADBBEABEBCEDCBABEBCAAEDEBBDBDBEDC;99999ECBDABBCCBBEDEBEACBCADBAABDACEEBCEACDCECCCEAB;BDECBBABDAAECDBCABAACBDBBDDEEEBBCAAEDCBEDACED;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1.0;140.0;120.0;140.0;120.0;20.0;540.0;E;C;A;D;3;C;A;B;C;A;A;B;A;A;A;B;A;A;B;B;A;C;A;B;A
